claim_uid,claim_id,file_path,section,line_ref,claim_text,quant_value,unit_or_metric,inline_source,page_anchor,appendix_a_present,status,resolution_action,notes
QCL-001,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,Executive Summary,19,"Global demand rises from 28 Mt (2025) to 42 Mt (2040)","28 -> 42","Mt","S&P Global, 2026a","p. 9",yes,anchored,retained_quantitative,"Primary demand-outlook quantitative claim"
QCL-002,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,Executive Summary,19,"Global demand base case reaches 42.7 Mtpa by 2035","42.7","Mtpa","Wood Mackenzie, 2025","p. 3",yes,anchored,retained_quantitative,"Companion demand-outlook quantitative claim"
QCL-003,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,Executive Summary,20,"AU data-centre electricity demand trajectory FY25/FY30/FY50","3.9; 12.0; 34.5","TWh","AEMO and Oxford Economics, 2025","p. 4",yes,anchored,retained_quantitative,"Demand-side anchor trajectory"
QCL-004,C-001,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,Executive Summary,21,"AU copper export value outlook rises from A$12.565b to A$17.648b","12.565 -> 17.648","A$ billion (nominal)","DISR, 2025","p. 60",yes,anchored,retained_quantitative,"Public baseline export-value signal"
QCL-005,C-002,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,Executive Summary,23,"PCB copper content can reach 20-25%","20-25","percent","Yang, Wu and Zhang, 2024","p. 4",yes,anchored,retained_quantitative,"Secondary-feed composition anchor"
QCL-006,C-007,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,Executive Summary,24,"Bioleaching pathway reports 18% GWP reduction","18","percent","Wu et al., 2025","p. 7",yes,anchored,retained_quantitative,"Low-carbon pathway quantitative anchor"
QCL-007,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T1.1,88,"Global demand rises from 28 Mt (2025) to 42 Mt (2040)","28 -> 42","Mt","S&P Global, 2026a","p. 9",yes,anchored,retained_quantitative,"Narrative restatement of QCL-001"
QCL-008,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T1.1,88,"Global demand base case reaches 42.7 Mtpa by 2035","42.7","Mtpa","Wood Mackenzie, 2025","p. 3",yes,anchored,retained_quantitative,"Narrative restatement of QCL-002"
QCL-009,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T1.2,96,"AU data-centre electricity demand trajectory FY25/FY30/FY50","3.9; 12.0; 34.5","TWh","AEMO and Oxford Economics, 2025","p. 4",yes,anchored,retained_quantitative,"Narrative restatement of QCL-003"
QCL-010,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T1.3 table,101,"Global copper demand illustrative outlook 28 Mt to 42 Mt","28 -> 42","Mt","S&P Global, 2026a","p. 9",yes,anchored,retained_quantitative,"Tabulated restatement of QCL-001"
QCL-011,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T1.3 table,102,"Global demand base case 42.7 Mtpa (2035)","42.7","Mtpa","Wood Mackenzie, 2025","p. 3",yes,anchored,retained_quantitative,"Tabulated restatement of QCL-002"
QCL-012,C-005,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T1.3 table,103,"AU data-centre electricity demand FY25/FY30/FY50","3.9; 12.0; 34.5","TWh","AEMO and Oxford Economics, 2025","p. 4",yes,anchored,retained_quantitative,"Tabulated restatement of QCL-003"
QCL-013,C-001,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T1.4.2,116,"AU copper export value outlook rises from A$12.565b to A$17.648b","12.565 -> 17.648","A$ billion (nominal)","DISR, 2025","p. 60",yes,anchored,retained_quantitative,"Narrative restatement of QCL-004"
QCL-014,C-004,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T1.4.4,126,"EU CRMA benchmark capacities: 10% extraction, 40% processing, 25% recycling","10; 40; 25","percent","European Union, 2024","p. 3",yes,anchored,retained_quantitative,"Benchmark architecture quantitative anchor"
QCL-015,C-002,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,T2.2,139,"Secondary feeds include PCBs with 20-25% copper","20-25","percent","Yang, Wu and Zhang, 2024","p. 4",yes,anchored,retained_quantitative,"Narrative restatement of QCL-005"
QCL-016,C-002,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,WP-B1 evidence anchor,200,"PCBs can reach copper contents of 20-25%","20-25","percent","Yang, Wu and Zhang, 2024","p. 4",yes,anchored,retained_quantitative,"Work-package evidence anchor"
QCL-017,C-002,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,Appendix A table,533,"Appendix A row: PCB copper content can be 20-25%","20-25","percent","Yang, Wu and Zhang, 2024","p. 4",yes,anchored,retained_quantitative,"Appendix A traceability row"
QCL-018,C-004,/Users/yuxiangw/Insync/2024_Monash-L/2026-02_Critical-Raw-Materials-Flagship/topic01_copper/WRITEUP.qmd,Appendix A table,534,"Appendix A row: EU benchmark targets 10/40/25","10; 40; 25","percent","European Union, 2024","p. 3",yes,anchored,retained_quantitative,"Appendix A traceability row"
